case_id,prompt,variant,mjvideo_total,alignment,fineness,coherence_consistency
vbench_000,a person swimming in ocean,bf16,1.3776731491088867,1.4765625,0.41796875,0.8515625
vbench_000,a person swimming in ocean,int4_plain,1.224254846572876,1.3203125,0.244140625,0.74609375
vbench_000,a person swimming in ocean,int4_svdquant,1.1807115077972412,1.2734375,0.205078125,0.71875
vbench_001,a person giving a presentation to a room full of colleagues,bf16,1.3975094556808472,1.4921875,0.19140625,0.80078125
vbench_001,a person giving a presentation to a room full of colleagues,int4_plain,1.1596684455871582,1.2265625,0.28125,0.7421875
vbench_001,a person giving a presentation to a room full of colleagues,int4_svdquant,1.2941715717315674,1.375,0.1953125,0.7890625
vbench_002,a person washing the dishes,bf16,0.7444697618484497,0.8046875,-0.08740234375,0.61328125
vbench_002,a person washing the dishes,int4_plain,0.6299182772636414,0.6796875,-0.099609375,0.57421875
vbench_002,a person washing the dishes,int4_svdquant,0.7151561975479126,0.76953125,-0.07470703125,0.625
vbench_003,a person eating a burger,bf16,0.49100637435913086,0.51953125,0.0052490234375,0.55078125
vbench_003,a person eating a burger,int4_plain,0.7825644016265869,0.8515625,-0.043701171875,0.58984375
vbench_003,a person eating a burger,int4_svdquant,1.0013902187347412,1.109375,0.03759765625,0.6796875
vbench_004,a person walking in the snowstorm,bf16,1.2291066646575928,1.2890625,0.38671875,0.77734375
vbench_004,a person walking in the snowstorm,int4_plain,1.2459049224853516,1.3203125,0.294921875,0.78515625
vbench_004,a person walking in the snowstorm,int4_svdquant,1.299112319946289,1.3671875,0.349609375,0.80859375
vbench_005,a person drinking coffee in a cafe,bf16,1.5179860591888428,1.625,0.41015625,0.8515625
vbench_005,a person drinking coffee in a cafe,int4_plain,1.3525912761688232,1.4453125,0.341796875,0.7890625
vbench_005,a person drinking coffee in a cafe,int4_svdquant,1.333350658416748,1.421875,0.392578125,0.80859375
vbench_006,a person playing guitar,bf16,1.1800317764282227,1.2734375,0.29296875,0.84375
vbench_006,a person playing guitar,int4_plain,1.1334205865859985,1.234375,0.1904296875,0.734375
vbench_006,a person playing guitar,int4_svdquant,1.346508264541626,1.4765625,0.259765625,0.82421875
vbench_007,a bicycle leaning against a tree,bf16,0.8019238114356995,0.859375,0.11962890625,0.60546875
vbench_007,a bicycle leaning against a tree,int4_plain,-1.0764622688293457,-1.3125,-0.171875,0.318359375
