case_id,prompt,variant,mjvideo_total,alignment,fineness,coherence_consistency
vbench_000,a person swimming in ocean,bf16,1.0012834072113037,1.09375,0.0048828125,0.58203125
vbench_000,a person swimming in ocean,w4a4,1.0660359859466553,1.1640625,0.0234375,0.6015625
vbench_000,a person swimming in ocean,svdquant,0.8165925741195679,0.90625,-0.140625,0.494140625
vbench_001,a person giving a presentation to a room full of colleagues,bf16,1.4775934219360352,1.5859375,0.201171875,0.8359375
vbench_001,a person giving a presentation to a room full of colleagues,w4a4,1.3390257358551025,1.4375,0.1220703125,0.7734375
vbench_001,a person giving a presentation to a room full of colleagues,svdquant,1.3672099113464355,1.46875,0.1357421875,0.78125
vbench_002,a person washing the dishes,bf16,0.7573749423027039,0.82421875,-0.1435546875,0.55859375
vbench_002,a person washing the dishes,w4a4,0.4149550795555115,0.451171875,-0.3203125,0.474609375
vbench_002,a person washing the dishes,svdquant,0.7667204737663269,0.84375,-0.283203125,0.52734375
vbench_003,a person eating a burger,bf16,0.9294549226760864,1.0078125,0.126953125,0.64453125
vbench_003,a person eating a burger,w4a4,0.823502242565155,0.890625,0.056640625,0.64453125
vbench_003,a person eating a burger,svdquant,0.8295999765396118,0.91015625,-0.060302734375,0.5859375
vbench_004,a person walking in the snowstorm,bf16,1.0582382678985596,1.140625,0.0888671875,0.6171875
vbench_004,a person walking in the snowstorm,w4a4,1.1452000141143799,1.21875,0.283203125,0.70703125
vbench_004,a person walking in the snowstorm,svdquant,0.8035179972648621,0.87109375,0.12890625,0.57421875
vbench_005,a person drinking coffee in a cafe,bf16,1.141030192375183,1.234375,0.107421875,0.65234375
vbench_005,a person drinking coffee in a cafe,w4a4,1.0949440002441406,1.1796875,0.0233154296875,0.62109375
vbench_005,a person drinking coffee in a cafe,svdquant,1.2534441947937012,1.3515625,0.10400390625,0.6640625
vbench_006,a person playing guitar,bf16,0.7158463597297668,0.7734375,-0.0322265625,0.55859375
vbench_006,a person playing guitar,w4a4,1.017346978187561,1.1015625,0.0712890625,0.65625
vbench_006,a person playing guitar,svdquant,0.6087542772293091,0.65625,-0.11474609375,0.53515625
vbench_007,a bicycle leaning against a tree,bf16,1.4906257390975952,1.6015625,0.474609375,0.85546875
vbench_007,a bicycle leaning against a tree,w4a4,1.483310580253601,1.59375,0.45703125,0.859375
vbench_007,a bicycle leaning against a tree,svdquant,1.4690477848052979,1.59375,0.42578125,0.8125
vbench_008,a bicycle gliding through a snowy field,bf16,1.211846113204956,1.296875,0.08935546875,0.625
vbench_008,a bicycle gliding through a snowy field,w4a4,1.0901720523834229,1.1796875,-0.000823974609375,0.53515625
vbench_008,a bicycle gliding through a snowy field,svdquant,1.0895079374313354,1.171875,0.0458984375,0.578125
vbench_009,a bicycle slowing down to stop,bf16,1.0317484140396118,1.09375,0.1884765625,0.671875
vbench_009,a bicycle slowing down to stop,w4a4,0.9727038741111755,1.03125,0.072265625,0.640625
vbench_009,a bicycle slowing down to stop,svdquant,1.0411043167114258,1.109375,0.041015625,0.57421875
vbench_010,a bicycle accelerating to gain speed,bf16,0.8681533336639404,0.921875,0.030517578125,0.546875
vbench_010,a bicycle accelerating to gain speed,w4a4,0.8119205236434937,0.8671875,-0.0262451171875,0.5078125
vbench_010,a bicycle accelerating to gain speed,svdquant,0.9319151043891907,0.9921875,-0.0177001953125,0.54296875
vbench_011,a car stuck in traffic during rush hour,bf16,0.12777718901634216,0.1259765625,-0.34765625,0.453125
vbench_011,a car stuck in traffic during rush hour,w4a4,-0.14894789457321167,-0.19140625,-0.3125,0.455078125
vbench_011,a car stuck in traffic during rush hour,svdquant,-0.172562375664711,-0.21484375,-0.3046875,0.435546875
vbench_012,a car turning a corner,bf16,0.9212696552276611,0.9921875,0.072265625,0.6015625
vbench_012,a car turning a corner,w4a4,0.6070443391799927,0.65625,-0.09423828125,0.45703125
vbench_012,a car turning a corner,svdquant,0.8640870451927185,0.9296875,-0.0079345703125,0.5859375
vbench_013,a car slowing down to stop,bf16,0.7806400060653687,0.82421875,0.15625,0.6875
vbench_013,a car slowing down to stop,w4a4,0.8065285682678223,0.8515625,0.1640625,0.69140625
vbench_013,a car slowing down to stop,svdquant,0.7606697678565979,0.796875,0.251953125,0.71484375
vbench_014,a car accelerating to gain speed,bf16,0.8008627891540527,0.84375,0.051025390625,0.578125
vbench_014,a car accelerating to gain speed,w4a4,0.8679080605506897,0.9140625,0.10693359375,0.60546875
vbench_014,a car accelerating to gain speed,svdquant,0.7302374243736267,0.76953125,0.134765625,0.58203125
vbench_072,Close up of grapes on a rotating table.,bf16,1.2858405113220215,1.34375,0.2578125,0.796875
vbench_072,Close up of grapes on a rotating table.,w4a4,1.3514947891235352,1.40625,0.34765625,0.83984375
vbench_072,Close up of grapes on a rotating table.,svdquant,1.2018884420394897,1.2578125,0.18359375,0.734375
vbench_073,Turtle swimming in ocean.,bf16,1.2874374389648438,1.359375,0.232421875,0.7421875
vbench_073,Turtle swimming in ocean.,w4a4,1.3016245365142822,1.375,0.2412109375,0.73046875
vbench_073,Turtle swimming in ocean.,svdquant,1.3814374208450317,1.4609375,0.259765625,0.734375
vbench_074,A storm trooper vacuuming the beach.,bf16,0.8533687591552734,0.8984375,0.06884765625,0.60546875
vbench_074,A storm trooper vacuuming the beach.,w4a4,1.1764568090438843,1.234375,0.177734375,0.7109375
vbench_074,A storm trooper vacuuming the beach.,svdquant,1.130290150642395,1.1875,0.12890625,0.6796875
vbench_075,A panda standing on a surfboard in the ocean in sunset.,bf16,1.3121137619018555,1.375,0.1875,0.71875
vbench_075,A panda standing on a surfboard in the ocean in sunset.,w4a4,1.2047055959701538,1.265625,0.154296875,0.69921875
vbench_075,A panda standing on a surfboard in the ocean in sunset.,svdquant,1.2078043222427368,1.265625,0.201171875,0.6796875
vbench_076,"An astronaut feeding ducks on a sunny afternoon, reflection from the water.",bf16,1.3949840068817139,1.453125,0.275390625,0.76953125
vbench_076,"An astronaut feeding ducks on a sunny afternoon, reflection from the water.",w4a4,0.030797123908996582,0.0159912109375,-0.052734375,0.5078125
vbench_076,"An astronaut feeding ducks on a sunny afternoon, reflection from the water.",svdquant,1.1677837371826172,1.21875,0.1259765625,0.65234375
vbench_077,Two pandas discussing an academic paper.,bf16,0.3275582492351532,0.33203125,-0.0137939453125,0.57421875
vbench_077,Two pandas discussing an academic paper.,w4a4,0.3543913960456848,0.359375,0.03759765625,0.58984375
vbench_077,Two pandas discussing an academic paper.,svdquant,0.4163331687450409,0.42578125,0.021728515625,0.5859375
vbench_078,Sunset time lapse at the beach with moving clouds and colors in the sky.,bf16,1.371480107307434,1.4296875,0.279296875,0.76953125
vbench_078,Sunset time lapse at the beach with moving clouds and colors in the sky.,w4a4,1.4480321407318115,1.5078125,0.326171875,0.8203125
vbench_078,Sunset time lapse at the beach with moving clouds and colors in the sky.,svdquant,1.4693331718444824,1.53125,0.30078125,0.80078125
vbench_079,A fat rabbit wearing a purple robe walking through a fantasy landscape.,bf16,1.2872686386108398,1.3359375,0.474609375,0.80078125
vbench_079,A fat rabbit wearing a purple robe walking through a fantasy landscape.,w4a4,1.4548414945602417,1.5078125,0.486328125,0.82421875
vbench_079,A fat rabbit wearing a purple robe walking through a fantasy landscape.,svdquant,1.44431734085083,1.5,0.40625,0.796875
vbench_080,A koala bear playing piano in the forest.,bf16,1.110413670539856,1.15625,0.1611328125,0.71484375
vbench_080,A koala bear playing piano in the forest.,w4a4,0.9367035031318665,0.97265625,0.1396484375,0.69140625
vbench_080,A koala bear playing piano in the forest.,svdquant,1.1247256994247437,1.171875,0.1669921875,0.6953125
vbench_081,An astronaut flying in space.,bf16,0.14336703717708588,0.13671875,0.01531982421875,0.404296875
vbench_081,An astronaut flying in space.,w4a4,0.907157838344574,0.953125,0.2158203125,0.5546875
vbench_081,An astronaut flying in space.,svdquant,0.669715166091919,0.70703125,0.028076171875,0.453125
vbench_082,Fireworks.,bf16,-0.6612834334373474,-0.7734375,-0.2314453125,0.416015625
vbench_082,Fireworks.,w4a4,-0.5387148261070251,-0.62109375,-0.318359375,0.388671875
vbench_082,Fireworks.,svdquant,0.17190593481063843,0.1728515625,-0.19140625,0.466796875
vbench_083,An animated painting of fluffy white clouds moving in sky.,bf16,0.6483449339866638,0.66796875,0.2041015625,0.609375
vbench_083,An animated painting of fluffy white clouds moving in sky.,w4a4,0.6534621119499207,0.671875,0.2333984375,0.64453125
vbench_083,An animated painting of fluffy white clouds moving in sky.,svdquant,0.5907185077667236,0.60546875,0.193359375,0.6171875
vbench_084,Flying through fantasy landscapes.,bf16,0.782314121723175,0.81640625,0.095703125,0.55859375
vbench_084,Flying through fantasy landscapes.,w4a4,0.7940689921379089,0.82421875,0.1435546875,0.58984375
vbench_084,Flying through fantasy landscapes.,svdquant,0.6274598240852356,0.65234375,0.0693359375,0.5390625
vbench_085,A bigfoot walking in the snowstorm.,bf16,0.5206367373466492,0.53515625,0.1630859375,0.6328125
vbench_085,A bigfoot walking in the snowstorm.,w4a4,0.6001585125923157,0.62109375,0.1474609375,0.62109375
vbench_085,A bigfoot walking in the snowstorm.,svdquant,0.5243440270423889,0.5390625,0.166015625,0.62890625
vbench_086,A squirrel eating a burger.,bf16,1.3154125213623047,1.3828125,0.169921875,0.7578125
vbench_086,A squirrel eating a burger.,w4a4,1.1936501264572144,1.25,0.09765625,0.73046875
vbench_086,A squirrel eating a burger.,svdquant,1.3296618461608887,1.3984375,0.07861328125,0.69140625
vbench_087,A cat wearing sunglasses and working as a lifeguard at a pool.,bf16,1.10402512550354,1.140625,0.37890625,0.8125
